dataset,record_id,true_label,p_include,final_score,model_name,encoder_include_cosine,encoder_exclude_cosine,encoder_delta,record_text_chars
Donners_2021,https://openalex.org/W3016428066,1,0.0010962048447103099,0.0010962048447103099,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9746537804603577,0.9724369049072266,0.0022168755531311035,102
Donners_2021,https://openalex.org/W2890442696,1,0.001096243648917699,0.001096243648917699,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9752151370048523,0.9705252647399902,0.0046898722648620605,1684
Donners_2021,https://openalex.org/W2278365462,1,0.0010960806804624097,0.0010960806804624097,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.979537844657898,0.9777547121047974,0.001783132553100586,399
Donners_2021,https://openalex.org/W3028455363,1,0.0010962669321004305,0.0010962669321004305,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9748386740684509,0.9697376489639282,0.005101025104522705,1435
Donners_2021,https://openalex.org/W2906655433,0,0.0010954988477106442,0.0010954988477106442,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9862388372421265,0.9831511974334717,0.003087639808654785,2283
Donners_2021,https://openalex.org/W2610701591,0,0.003591184344015368,0.003591184344015368,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9774647951126099,0.9766939878463745,0.0007708072662353516,1754
Donners_2021,https://openalex.org/W2765359511,0,0.013364182788756665,0.013364182788756665,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9813026785850525,0.980349600315094,0.0009530782699584961,2040
Donners_2021,https://openalex.org/W2988935613,0,0.003591184344015368,0.003591184344015368,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9811334609985352,0.9829772114753723,-0.0018437504768371582,1563
Donners_2021,https://openalex.org/W2986546258,0,0.0010961505211239417,0.0010961505211239417,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9850928783416748,0.9814278483390808,0.003665030002593994,4408
Donners_2021,https://openalex.org/W3037252784,0,0.0010962669321004305,0.0010962669321004305,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9842070937156677,0.9834890961647034,0.0007179975509643555,286
Donners_2021,https://openalex.org/W2011766387,0,0.001096243648917699,0.001096243648917699,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9804497957229614,0.9798513054847717,0.0005984902381896973,2115
Donners_2021,https://openalex.org/W2940425658,0,0.003591184344015368,0.003591184344015368,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9779853820800781,0.9734898805618286,0.004495501518249512,1230
Donners_2021,https://openalex.org/W3142726662,0,0.001096243648917699,0.001096243648917699,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9747881293296814,0.9749165773391724,-0.0001284480094909668,2315
Donners_2021,https://openalex.org/W2983240095,0,0.001096243648917699,0.001096243648917699,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9758885502815247,0.9757974147796631,9.113550186157227e-05,4040
Sep_2021,https://openalex.org/W2144529104,1,0.0015374388802028007,0.0015374388802028007,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9683166742324829,0.9564241766929626,0.011892497539520264,1345
Sep_2021,https://openalex.org/W2789966204,1,0.020687180697951987,0.020687180697951987,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.968560516834259,0.9587796330451965,0.0097808837890625,1710
Sep_2021,https://openalex.org/W2983898801,1,0.0015374388802028007,0.0015374388802028007,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9655036926269531,0.9564905762672424,0.009013116359710693,1480
Sep_2021,https://openalex.org/W1981925277,1,0.02068774358716133,0.02068774358716133,microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,0.9703304171562195,0.9627275466918945,0.007602870464324951,2078
