dataset,record_id,true_label,p_include,b1_lexical_score,openalex_source,openalex_found,metadata_score,referenced_works_count,related_works_count,b3_seed1_direct,b3_seed1_neighbor_count,b3_seed1_neighbor_jaccard,b3_seed3_direct,b3_seed3_neighbor_count,b3_seed3_neighbor_jaccard,b3_seed5_direct,b3_seed5_neighbor_count,b3_seed5_neighbor_jaccard
Donners_2021,https://openalex.org/W3016428066,1,0.0010962048447103099,0.06826217481044076,cache,True,-0.021757657292030316,5,10,0.0,3.0,0.05263157894736842,0.0,5.0,0.050505050505050504,1.0,5.0,0.03205128205128205
Donners_2021,https://openalex.org/W2890442696,1,0.001096243648917699,0.16877965203272338,cache,True,0.057889283797802976,30,10,1.0,6.0,0.0759493670886076,1.0,10.0,0.08403361344537816,2.0,14.0,0.08139534883720931
Donners_2021,https://openalex.org/W2278365462,1,0.0010960806804624097,0.21955731519135563,cache,True,0.03948757238576189,29,10,1.0,3.0,0.037037037037037035,1.0,5.0,0.04065040650406504,1.0,10.0,0.05714285714285714
Donners_2021,https://openalex.org/W3028455363,1,0.0010962669321004305,0.18438032827386733,cache,True,-0.024181955117144133,25,10,1.0,9.0,0.1267605633802817,3.0,14.0,0.11764705882352941,5.0,15.0,0.09090909090909091
Donners_2021,https://openalex.org/W2906655433,0,0.0010954988477106442,0.060012980762637336,cache,True,0.0009945882850960416,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donners_2021,https://openalex.org/W2610701591,0,0.003591184344015368,0.04783260658210683,cache,True,0.019778276027455396,43,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donners_2021,https://openalex.org/W2765359511,0,0.013364182788756665,0.10534918591571404,cache,True,0.0010587309904448033,0,10,0.0,1.0,0.018518518518518517,0.0,7.0,0.07608695652173914,0.0,7.0,0.04697986577181208
Donners_2021,https://openalex.org/W2988935613,0,0.003591184344015368,0.043646270244276905,cache,True,-0.02023476208875441,174,10,0.0,10.0,0.045871559633027525,0.0,14.0,0.05426356589147287,0.0,17.0,0.05448717948717949
Donners_2021,https://openalex.org/W2986546258,0,0.0010961505211239417,0.0808702302498983,cache,True,0.010505639796257647,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donners_2021,https://openalex.org/W3037252784,0,0.0010962669321004305,0.1132591996025346,cache,True,-0.026751013785548422,111,10,0.0,10.0,0.0641025641025641,0.0,13.0,0.06598984771573604,1.0,19.0,0.07661290322580645
Donners_2021,https://openalex.org/W2011766387,0,0.001096243648917699,0.1703723729620225,cache,True,0.01846048847326069,51,10,0.0,1.0,0.009523809523809525,1.0,2.0,0.013513513513513514,1.0,8.0,0.04020100502512563
Donners_2021,https://openalex.org/W2940425658,0,0.003591184344015368,0.0456574229207524,cache,True,-0.007554354267466021,20,10,0.0,3.0,0.041666666666666664,0.0,3.0,0.02586206896551724,0.0,3.0,0.017341040462427744
Donners_2021,https://openalex.org/W3142726662,0,0.001096243648917699,0.06588752241743558,cache,True,-0.001729142447705321,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Donners_2021,https://openalex.org/W2983240095,0,0.001096243648917699,-0.03415562099035118,cache,True,-0.031320515383814355,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sep_2021,https://openalex.org/W2144529104,1,0.0015374388802028007,0.24997336802977585,cache,True,0.027228280841890412,23,10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.018867924528301886
Sep_2021,https://openalex.org/W2789966204,1,0.020687180697951987,0.07772754341759278,cache,True,0.04617733091038823,41,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.005714285714285714
